DomainID,OrganismID,OrganismID
IRD-1,4081,1
IRD-10,4072,1
IRD-10,80379,1
IRD-100,4072,1
IRD-101,4072,1
IRD-102,4072,1
IRD-103,4072,6
IRD-104,4072,1
IRD-105,4072,1
IRD-106,4072,1
IRD-107,4072,1
IRD-108,4072,2
IRD-109,4072,1
IRD-11,33114,1
IRD-110,4072,1
IRD-111,4072,1
IRD-112,4072,1
IRD-113,4072,1
IRD-114,4072,1
IRD-115,4072,1
IRD-116,4072,1
IRD-117,4072,1
IRD-118,4072,1
IRD-119,33114,1
IRD-12,4072,5
IRD-120,4072,1
IRD-121,4072,13
IRD-122,4072,18
IRD-122,80379,1
IRD-123,4072,1
IRD-124,4072,1
IRD-125,4072,1
IRD-126,4072,1
IRD-127,4072,1
IRD-128,4072,1
IRD-129,4072,1
IRD-13,4113,2
IRD-130,4072,1
IRD-131,80379,1
IRD-132,4072,1
IRD-133,4072,38
IRD-133,33114,1
IRD-134,80379,1
IRD-135,4072,1
IRD-136,4072,1
IRD-137,4072,1
IRD-138,4072,1
IRD-139,4072,1
IRD-14,4072,1
IRD-14,80379,1
IRD-140,33114,1
IRD-141,4072,1
IRD-142,33114,1
IRD-143,4072,10
IRD-143,80379,1
IRD-144,33114,1
IRD-145,4072,1
IRD-146,4072,1
IRD-147,4072,1
IRD-148,4072,1
IRD-149,4072,1
IRD-15,4072,1
IRD-150,4096,1
IRD-151,4113,1
IRD-152,4096,10
IRD-152,4097,4
IRD-153,4097,3
IRD-153,4087,2
IRD-153,4096,2
IRD-154,200316,2
IRD-155,200316,2
IRD-156,200316,2
IRD-157,200316,2
IRD-158,200316,2
IRD-159,200316,2
IRD-16,4113,1
IRD-160,35889,2
IRD-161,35889,2
IRD-162,35889,2
IRD-163,35889,2
IRD-164,35889,2
IRD-165,49451,4
IRD-166,49451,4
IRD-167,49451,1
IRD-168,49451,2
IRD-169,49451,3
IRD-169,200315,1
IRD-17,4146,1
IRD-170,4093,1
IRD-171,4093,1
IRD-172,4097,6
IRD-172,4093,1
IRD-173,4093,1
IRD-174,4096,1
IRD-175,4096,1
IRD-176,4096,2
IRD-176,4086,1
IRD-176,49451,1
IRD-176,200301,1
IRD-177,4096,1
IRD-178,4096,1
IRD-179,4086,1
IRD-18,4081,1
IRD-180,4086,1
IRD-181,4086,1
IRD-182,4086,1
IRD-183,4086,1
IRD-184,4097,3
IRD-185,81866,1
IRD-185,278839,1
IRD-186,81866,1
IRD-186,278839,1
IRD-187,81866,1
IRD-188,81866,1
IRD-189,278839,2
IRD-189,81866,1
IRD-19,4081,1
IRD-190,278839,1
IRD-191,4087,1
IRD-192,4087,2
IRD-193,200315,1
IRD-194,200315,1
IRD-195,200315,1
IRD-196,118704,1
IRD-196,200315,1
IRD-197,118704,1
IRD-198,118704,1
IRD-199,4096,1
IRD-199,118704,1
IRD-2,4112,1
IRD-20,4081,2
IRD-20,4083,1
IRD-200,118704,1
IRD-201,4097,1
IRD-202,4097,1
IRD-203,4097,1
IRD-204,4097,1
IRD-205,4097,1
IRD-206,4097,2
IRD-207,4097,2
IRD-208,4097,1
IRD-209,4097,2
IRD-21,4113,1
IRD-210,4097,2
IRD-211,4100,1
IRD-211,118709,1
IRD-211,118712,1
IRD-211,200306,1
IRD-212,200306,1
IRD-213,200306,1
IRD-214,49451,1
IRD-215,118703,1
IRD-216,118703,1
IRD-217,118703,1
IRD-217,118709,1
IRD-218,118709,1
IRD-219,49451,1
IRD-22,4113,1
IRD-220,49451,1
IRD-221,118701,1
IRD-222,118701,1
IRD-223,118701,1
IRD-224,118701,1
IRD-225,118712,1
IRD-226,118712,1
IRD-227,200300,1
IRD-228,200300,1
IRD-229,4087,1
IRD-23,4113,2
IRD-230,4100,1
IRD-231,80379,1
IRD-232,4072,5
IRD-233,4072,1
IRD-234,80379,1
IRD-236,172790,1
IRD-237,4113,3
IRD-238,4113,1
IRD-239,4113,2
IRD-24,4113,2
IRD-240,4113,4
IRD-241,35889,2
IRD-242,4097,1
IRD-243,4097,1
IRD-244,76336,1
IRD-245,76336,1
IRD-246,76336,1
IRD-247,4113,1
IRD-248,4113,3
IRD-249,4108,1
IRD-25,4113,3
IRD-250,4113,1
IRD-251,4096,1
IRD-252,4093,2
IRD-253,4087,2
IRD-254,4097,2
IRD-254,4096,1
IRD-255,4097,3
IRD-255,4096,1
IRD-256,80379,1
IRD-257,200306,1
IRD-258,118703,1
IRD-259,118709,1
IRD-26,4108,1
IRD-260,118712,1
IRD-261,4100,1
IRD-262,118690,1
IRD-263,109975,1
IRD-264,4112,1
IRD-265,4097,2
IRD-266,4096,1
IRD-267,49451,1
IRD-268,4097,1
IRD-269,200306,1
IRD-27,4113,1
IRD-270,76336,1
IRD-271,200300,1
IRD-272,4112,1
IRD-273,33114,1
IRD-274,4113,1
IRD-275,4081,1
IRD-275,4083,1
IRD-276,4081,1
IRD-277,109975,1
IRD-278,4108,1
IRD-278,4113,1
IRD-279,4113,1
IRD-28,4072,2
IRD-280,4072,1
IRD-281,33114,1
IRD-282,4072,1
IRD-283,80379,1
IRD-284,267555,1
IRD-285,4081,2
IRD-285,4083,1
IRD-286,4113,1
IRD-287,80379,1
IRD-288,33114,1
IRD-289,4072,1
IRD-29,33114,1
IRD-290,4081,1
IRD-291,4081,1
IRD-292,4097,2
IRD-292,4096,1
IRD-293,49451,1
IRD-294,80379,1
IRD-295,4072,1
IRD-296,4072,1
IRD-297,4113,2
IRD-297,4083,1
IRD-298,4113,1
IRD-299,4112,1
IRD-3,4112,2
IRD-30,80379,1
IRD-300,4155,1
IRD-301,3694,1
IRD-302,3983,1
IRD-303,3983,1
IRD-304,3988,1
IRD-306,180498,1
IRD-307,3702,2
IRD-308,29760,1
IRD-309,1088818,1
IRD-31,4113,1
IRD-310,3711,1
IRD-310,51351,1
IRD-311,3712,1
IRD-311,69181,1
IRD-311,109376,1
IRD-312,81985,1
IRD-313,28930,1
IRD-314,81972,1
IRD-315,107243,4
IRD-316,4072,1
IRD-317,80379,1
IRD-318,33114,1
IRD-319,80379,1
IRD-32,4081,2
IRD-320,4113,1
IRD-321,4097,1
IRD-322,4097,1
IRD-323,4096,1
IRD-324,49451,1
IRD-325,3755,2
IRD-325,3760,2
IRD-327,22663,1
IRD-329,4565,1
IRD-329,4572,1
IRD-329,200361,1
IRD-33,4113,1
IRD-330,906689,1
IRD-331,4565,1
IRD-331,4567,1
IRD-332,206008,1
IRD-333,112509,1
IRD-334,888268,1
IRD-335,49390,1
IRD-336,4615,1
IRD-337,4615,1
IRD-338,1504633,2
IRD-339,192259,1
IRD-34,4108,1
IRD-340,4113,1
IRD-341,4113,2
IRD-342,4113,1
IRD-343,33114,1
IRD-344,4072,2
IRD-344,80379,1
IRD-346,4097,2
IRD-346,4096,1
IRD-346,49451,1
IRD-347,33114,1
IRD-347,80379,1
IRD-348,4072,2
IRD-348,33114,1
IRD-349,80379,1
IRD-35,80379,1
IRD-350,74649,1
IRD-351,88036,1
IRD-352,88036,1
IRD-353,74649,1
IRD-354,4072,1
IRD-354,33114,1
IRD-354,80379,1
IRD-355,74649,1
IRD-356,71139,1
IRD-357,3755,1
IRD-357,3760,1
IRD-357,36596,1
IRD-358,2094558,1
IRD-359,4097,1
IRD-36,80379,1
IRD-360,4096,1
IRD-360,4097,1
IRD-360,49451,1
IRD-361,33114,1
IRD-361,80379,1
IRD-362,4555,1
IRD-363,4555,1
IRD-363,4556,1
IRD-364,1504633,2
IRD-364,4540,1
IRD-365,4096,1
IRD-366,49390,1
IRD-367,13443,1
IRD-367,49390,1
IRD-368,4097,1
IRD-369,74649,1
IRD-37,33114,1
IRD-370,192259,1
IRD-371,79200,1
IRD-372,131158,1
IRD-373,4558,1
IRD-375,4081,2
IRD-376,4081,1
IRD-377,4072,2
IRD-377,33114,1
IRD-378,4113,2
IRD-379,4081,1
IRD-38,4097,1
IRD-380,4113,1
IRD-381,3880,1
IRD-382,4537,1
IRD-383,3880,1
IRD-384,40149,1
IRD-385,77586,1
IRD-386,4533,1
IRD-387,39947,2
IRD-387,4529,1
IRD-387,4536,1
IRD-387,4538,1
IRD-387,39946,1
IRD-387,40148,1
IRD-387,65489,1
IRD-388,77586,1
IRD-389,74649,1
IRD-39,4096,1
IRD-390,4577,1
IRD-391,4577,1
IRD-392,888268,1
IRD-393,3562,1
IRD-394,4558,1
IRD-395,888268,1
IRD-396,4558,1
IRD-397,15368,1
IRD-398,3827,1
IRD-399,157652,1
IRD-4,4081,1
IRD-40,4081,1
IRD-400,4565,1
IRD-400,37682,1
IRD-400,200361,1
IRD-401,4097,2
IRD-402,4097,1
IRD-403,4113,1
IRD-404,4072,1
IRD-405,4081,4
IRD-406,4081,1
IRD-407,4081,1
IRD-408,109975,1
IRD-409,4112,1
IRD-41,4097,2
IRD-41,4096,1
IRD-410,33114,1
IRD-411,4113,1
IRD-412,4072,6
IRD-412,80379,1
IRD-413,4113,1
IRD-414,80379,1
IRD-415,4072,1
IRD-416,4072,1
IRD-417,4113,1
IRD-418,4081,2
IRD-419,4097,2
IRD-419,4096,1
IRD-42,49451,1
IRD-420,49451,1
IRD-421,80379,1
IRD-422,33114,1
IRD-424,4081,1
IRD-425,4113,1
IRD-426,4108,1
IRD-427,4097,2
IRD-428,4096,1
IRD-428,49451,1
IRD-429,4113,1
IRD-43,4072,2
IRD-43,80379,1
IRD-430,4113,1
IRD-431,4081,1
IRD-432,4081,1
IRD-433,4113,1
IRD-434,4108,1
IRD-435,4096,1
IRD-435,4097,1
IRD-436,109975,1
IRD-437,4108,1
IRD-437,4113,1
IRD-438,80379,1
IRD-439,267555,1
IRD-44,80379,1
IRD-440,35889,2
IRD-441,76336,1
IRD-442,4113,1
IRD-443,4113,1
IRD-444,4072,7
IRD-444,80379,1
IRD-445,4072,1
IRD-446,4072,1
IRD-447,4072,1
IRD-448,4072,1
IRD-449,4100,1
IRD-449,118709,1
IRD-449,200306,1
IRD-45,33114,1
IRD-450,118703,1
IRD-451,4072,6
IRD-451,33114,1
IRD-452,4081,1
IRD-452,4083,1
IRD-453,4081,1
IRD-454,4113,1
IRD-455,109975,2
IRD-455,4112,1
IRD-456,4081,3
IRD-456,4083,1
IRD-457,109975,1
IRD-458,4112,1
IRD-459,4081,2
IRD-46,4113,1
IRD-460,109975,2
IRD-461,80379,1
IRD-462,76336,1
IRD-463,33114,1
IRD-464,4113,2
IRD-465,4113,2
IRD-466,4113,2
IRD-467,4113,9
IRD-467,4108,1
IRD-467,172790,1
IRD-468,4113,1
IRD-469,4113,1
IRD-47,4081,1
IRD-470,4081,1
IRD-470,4113,1
IRD-471,4081,1
IRD-472,4072,1
IRD-472,80379,1
IRD-473,33114,1
IRD-474,4072,1
IRD-475,4108,1
IRD-475,4113,1
IRD-476,4113,1
IRD-477,33114,1
IRD-478,4113,1
IRD-479,4072,1
IRD-48,4072,1
IRD-480,4096,1
IRD-481,4113,1
IRD-482,4072,1
IRD-483,4081,1
IRD-483,4083,1
IRD-484,4113,1
IRD-485,4113,2
IRD-487,172790,1
IRD-488,4113,3
IRD-489,4113,2
IRD-49,4072,1
IRD-490,4113,1
IRD-491,4072,2
IRD-492,76336,1
IRD-493,4081,1
IRD-494,4113,2
IRD-495,4113,2
IRD-496,4113,3
IRD-496,4108,1
IRD-497,4113,1
IRD-498,4108,1
IRD-499,4113,2
IRD-5,4097,1
IRD-50,4072,1
IRD-500,4113,2
IRD-501,4097,1
IRD-502,4072,1
IRD-503,80379,1
IRD-504,4113,1
IRD-505,4081,2
IRD-505,4083,1
IRD-506,33114,1
IRD-507,4081,1
IRD-508,49451,2
IRD-509,118703,1
IRD-51,4111,1
IRD-510,118701,1
IRD-511,4081,1
IRD-512,4081,1
IRD-513,80379,1
IRD-514,4097,1
IRD-515,4112,1
IRD-516,4112,2
IRD-517,33114,1
IRD-518,4072,1
IRD-518,80379,1
IRD-519,4072,4
IRD-52,4113,2
IRD-520,4072,1
IRD-521,4072,1
IRD-522,4096,1
IRD-523,4097,1
IRD-524,4081,1
IRD-524,4083,1
IRD-525,4113,1
IRD-526,4112,1
IRD-527,4081,1
IRD-528,4072,1
IRD-529,4096,1
IRD-529,4097,1
IRD-53,4113,1
IRD-530,4097,1
IRD-531,4097,2
IRD-532,4097,1
IRD-533,118704,1
IRD-534,4072,1
IRD-535,118701,1
IRD-535,200300,1
IRD-536,4072,25
IRD-537,4072,1
IRD-538,33114,1
IRD-539,4072,2
IRD-54,4113,1
IRD-540,4072,4
IRD-541,4072,12
IRD-542,80379,1
IRD-543,80379,1
IRD-544,4072,1
IRD-545,4072,1
IRD-546,4072,1
IRD-547,4072,1
IRD-548,4072,1
IRD-549,4072,1
IRD-55,4081,1
IRD-550,4072,1
IRD-551,4072,14
IRD-551,80379,1
IRD-552,4072,9
IRD-553,4072,1
IRD-554,4072,1
IRD-555,4072,1
IRD-556,4072,1
IRD-557,4072,1
IRD-558,4072,1
IRD-559,4072,21
IRD-559,33114,2
IRD-56,4113,3
IRD-560,4072,17
IRD-561,4072,1
IRD-562,4072,1
IRD-563,4072,1
IRD-564,4072,1
IRD-565,4096,1
IRD-566,4096,1
IRD-567,4096,1
IRD-568,4096,1
IRD-569,4086,1
IRD-57,4113,2
IRD-570,4086,1
IRD-571,4086,1
IRD-572,4086,1
IRD-573,4097,1
IRD-574,81866,1
IRD-575,278839,1
IRD-576,49451,1
IRD-577,200301,1
IRD-578,4097,1
IRD-579,35889,2
IRD-58,4113,3
IRD-58,4108,1
IRD-580,35889,2
IRD-581,35889,2
IRD-582,4096,1
IRD-583,4096,1
IRD-584,4086,1
IRD-585,4086,1
IRD-586,4097,2
IRD-587,49451,1
IRD-588,49451,1
IRD-589,118701,1
IRD-59,4113,1
IRD-590,200300,1
IRD-591,200316,2
IRD-592,200316,2
IRD-593,200316,2
IRD-594,4093,2
IRD-595,4097,3
IRD-596,4097,6
IRD-597,4097,2
IRD-598,4097,1
IRD-599,4097,1
IRD-6,4097,1
IRD-60,4072,1
IRD-600,81866,2
IRD-600,278839,2
IRD-601,4097,1
IRD-602,4097,1
IRD-603,4097,1
IRD-604,4096,9
IRD-605,4096,1
IRD-606,4097,3
IRD-606,4087,2
IRD-606,4096,2
IRD-607,200316,2
IRD-607,278839,1
IRD-608,200316,2
IRD-609,200316,4
IRD-61,200316,2
IRD-610,35889,2
IRD-611,35889,2
IRD-612,35889,2
IRD-613,4093,1
IRD-614,4093,1
IRD-615,49451,6
IRD-616,49451,4
IRD-617,49451,2
IRD-618,49451,3
IRD-619,49451,3
IRD-619,200315,1
IRD-62,4081,3
IRD-620,4096,1
IRD-620,4097,1
IRD-621,4097,2
IRD-622,4097,1
IRD-623,4087,1
IRD-624,4087,2
IRD-625,4097,3
IRD-626,4097,3
IRD-627,4097,1
IRD-628,4097,1
IRD-629,200315,1
IRD-63,4081,2
IRD-630,200315,1
IRD-631,200315,2
IRD-632,4097,1
IRD-633,118704,1
IRD-634,118704,1
IRD-635,118704,2
IRD-636,81866,1
IRD-637,81866,1
IRD-637,278839,1
IRD-638,81866,1
IRD-638,278839,1
IRD-639,200306,1
IRD-64,4113,1
IRD-640,4100,1
IRD-640,200306,1
IRD-641,200306,1
IRD-642,76336,1
IRD-643,118703,1
IRD-644,118703,1
IRD-644,118709,1
IRD-645,118712,1
IRD-646,118712,1
IRD-647,118712,1
IRD-648,118709,1
IRD-649,118709,1
IRD-65,4113,1
IRD-650,118701,1
IRD-651,118701,1
IRD-651,200300,1
IRD-652,200300,1
IRD-653,4087,1
IRD-653,4097,1
IRD-654,4100,1
IRD-655,4096,2
IRD-655,4097,2
IRD-656,4097,1
IRD-657,76336,1
IRD-658,4097,5
IRD-658,4096,3
IRD-659,4093,2
IRD-66,4113,1
IRD-660,4093,1
IRD-661,4087,4
IRD-662,200306,1
IRD-663,118712,1
IRD-664,118690,1
IRD-665,200316,2
IRD-666,4086,1
IRD-666,200301,1
IRD-667,200315,1
IRD-668,118704,1
IRD-669,4100,1
IRD-669,118703,1
IRD-669,118712,1
IRD-67,4072,1
IRD-670,118709,1
IRD-671,118690,1
IRD-672,200306,1
IRD-673,76336,1
IRD-674,200300,1
IRD-675,4096,1
IRD-676,3476,1
IRD-677,472368,1
IRD-678,429701,1
IRD-679,429701,2
IRD-68,80379,1
IRD-680,13443,1
IRD-680,49390,1
IRD-681,981085,1
IRD-682,88036,1
IRD-683,88036,1
IRD-684,88036,1
IRD-685,49390,1
IRD-686,88036,1
IRD-687,131158,1
IRD-688,63057,1
IRD-689,4113,6
IRD-69,4081,1
IRD-690,4113,2
IRD-691,4108,1
IRD-692,4072,2
IRD-692,80379,1
IRD-693,4072,1
IRD-694,88036,1
IRD-695,88036,2
IRD-696,88036,1
IRD-697,88036,1
IRD-698,132261,1
IRD-698,267555,1
IRD-7,4081,1
IRD-70,4081,1
IRD-71,4081,1
IRD-72,33114,1
IRD-73,4081,1
IRD-74,4097,3
IRD-75,4097,2
IRD-76,4097,2
IRD-77,76336,1
IRD-78,4072,5
IRD-79,49451,1
IRD-8,4113,1
IRD-80,49451,1
IRD-81,200300,1
IRD-82,4072,1
IRD-83,4072,14
IRD-83,33114,1
IRD-84,4072,29
IRD-85,4072,1
IRD-86,4072,1
IRD-87,80379,2
IRD-88,80379,1
IRD-89,4072,1
IRD-9,4113,1
IRD-90,4072,12
IRD-91,4072,1
IRD-92,4072,1
IRD-93,4072,17
IRD-93,33114,1
IRD-94,4072,1
IRD-95,4072,1
IRD-96,4072,1
IRD-97,4072,1
IRD-98,4072,1
IRD-99,4072,1
